Industry,code
Accounting/Finance,12
Advertising/Public Relations,
Aerospace/Aviation,
Arts/Entertainment/Publishing,15
Automotive,16
Banking/Mortgage,17
Business Development,18
Business Opportunity,19
Clerical/Administrative,20
Construction/Facilities,21
Consumer Goods,22
Customer Service,23
Education/Training,24
Energy/Utilities,25
Engineering,26
Government/Military,27
Green,28
Healthcare,29
Hospitality/Travel,30
Human Resources,31
Installation/Maintenance,32
Insurance,33
Internet,34
Job Search Aids,35
Law Enforcement/Security,36
Legal,37
Management/Executive,38
Manufacturing/Operations,39
Marketing,40
Non-Profit/Volunteer,41
Pharmaceutical/Biotech,42
Professional Services,43
QA/Quality Control,44
Real Estate,45
Restaurant/Food Service,46
Retail,47
Sales,48
Science/Research,49
Skilled Labor,50
Technology,51
Telecommunications,52
Transportation/Logistics,53
Other,54
